xmin,ymin,xmax,ymax,confidence,class
378,77,386,85,1.0,"""Lunik Bay""-landing area of Luna (Lunik) 2."
379,99,387,107,1.0,Italian explorer (1254-1324).
132,89,140,97,1.0,"Indian male name, part of Aratus CA."
132,89,140,97,1.0,Chinese female name; part of Aratus CA.
197,160,205,168,1.0,German male name.
137,112,145,120,1.0,Named from nearby crater.
365,189,373,197,1.0,"Geminiano; Italian astronomer, mathematician (1633-1687)."
283,230,291,238,1.0,Pieter; Dutch physicist; Nobel laureate (1865-1943).
144,59,152,67,1.0,Johann Tobias; Austrian astronomer (1766-1834).
125,88,133,96,1.0,Spanish male name.
357,74,365,82,1.0,Caroline Lucretia; British astronomer (1750-1848).
370,138,378,146,1.0,"Otto von; German physicist, engineer, naturalist (1602-1686)."
131,68,139,76,1.0,Calippus of Cyzicus; Greek astronomer (c. 370 B.C.).
211,111,219,119,1.0,Latin female name.
146,73,154,81,1.0,"John Frederick; British physicist, chemist, meteorologist (1790-1845)."
337,152,345,160,1.0,Francesco; Italian astronomer (1805-1848).
169,104,177,112,1.0,Alfred; British petrologist (1859-1939).
157,123,165,131,1.0,Marcus Porcius; Roman geological engineer (234-149 B.C.).
135,61,143,69,1.0,Greek astronomer (c. 408-355 B.C.).
210,113,218,121,1.0,Gaelic male name.
353,83,361,91,1.0,A.P.; Russian rocket scientist (1872-1920).
217,87,225,95,1.0,Kirill Pavlovich; Soviet geologist (1915-1982).
157,68,165,76,1.0,Benjamin; American inventor (1706-1790).
342,87,350,95,1.0,Sigmund; Austrian psychoanalyst (1856-1939).
230,151,238,159,1.0,Yury Alekseyevich; Soviet cosmonaut (1934-1968).
329,62,337,70,1.0,Karl Ludwig; German astronomer (1765-1834).
313,1,321,9,1.0,Charles; French mathematician (1822-1901).
194,65,202,73,1.0,Egyptian astronomer (c. 300 B.C.).
209,123,217,131,1.0,Egyptian inventor (unkn-c. 100 B.C.).
349,85,357,93,1.0,Russian male name.
288,122,296,130,1.0,Ejnar; Danish astronomer (1873-1967).
129,135,137,143,1.0,John Russell; British astronomer (1823-1895).
127,97,135,105,1.0,Latin female name.
143,97,151,105,1.0,Egyptian female first name.
190,87,198,95,1.0,Frederic Joliot-Curie; French physicist; Nobel laureate (1900-1958).
299,140,307,148,1.0,William Maybrick; American astronomer (1878-1948).
197,160,205,168,1.0,Arabic female name.
218,149,226,157,1.0,Russian female name.
376,68,384,76,1.0,Gottfried; German astronomer (1639-1710).
170,62,178,70,1.0,"""Lake of Hope."""
303,65,311,73,1.0,Giovanni; Italian astronomer (1884-1967).
371,140,379,148,1.0,August Adolph Eduard Eberhard; German physicist (1839-1894).
273,98,281,106,1.0,"Ernst; Austrian physicist, philosopher (1838-1916)."
162,114,170,122,1.0,Apollonius of Perga; Greek mathematician (c. 262-190 B.C.).
155,91,163,99,1.0,"""Lake of Goodness."""
310,74,318,82,1.0,Hendrik Antoon; Dutch physicist; Nobel laureate (1853-1928).
132,100,140,108,1.0,"""Lake of Joy."""
133,102,141,110,1.0,"""Wintry Lake."""
132,103,140,111,1.0,"""Lake of Softness."""
248,96,256,104,1.0,"""Lake of Luxury."""
365,66,373,74,1.0,"Urbain-Jean-Joseph; French astronomer, mathematician (1811-1877)."
377,96,385,104,1.0,André-Marie; French physicist (1775-1836).
209,116,217,124,1.0,Indian male name.
191,8,199,16,1.0,Fridtjof; Norwegian explorer (1861-1930).
374,89,382,97,1.0,"William Duncan; American mathematician, astronomer (1871-1948)."
145,95,153,103,1.0,"Astronaut-named feature, Apollo 17 site."
232,179,240,187,1.0,Knut Emil; Swedish astronomer (1889-1958).
239,115,247,123,1.0,Leonid Isaakovich; Soviet physicist (1879-1944).
189,191,197,199,1.0,"""Southern Sea."""
170,122,178,130,1.0,"""Foaming Sea."""
359,168,367,176,1.0,Albert; German astronomer (1828-1897).
351,72,359,80,1.0,Named from nearby crater.
351,72,359,80,1.0,Named from nearby crater.
168,107,176,115,1.0,Mikhail Antonovich; Soviet geologist (1883-1939).
356,92,364,100,1.0,Aleksandr Pavlovich; Soviet geochemist and cosmochemist (1895-1975).
132,99,140,107,1.0,Named for range in the Balkans.
350,85,358,93,1.0,Harbingers of dawn on crater Aristarchus.
153,143,161,151,1.0,Named from terrestrial Pyrenees.
240,204,248,212,1.0,"Jules Henri; French mathematician, physicist (1854-1912)."
155,104,163,112,1.0,"""Marsh of Sleep."""
124,62,132,70,1.0,Sainte-Claire Charles; French geologist (1814-1876).
125,63,133,71,1.0,"Jean Louis Rodolphe; Swiss zoologist, geologist (1807-1873)."
145,95,153,103,1.0,Latin female name.
338,113,346,121,1.0,"Reinieri, Vincentio; Italian astronomer, mathematician (unkn-1648)."
374,106,382,114,1.0,"""Seething Bay."""
340,187,348,195,1.0,"Wilhelm; German astronomer, mathematician (1592-1635)."
343,52,351,60,1.0,"""Bay of Dew."""
165,122,173,130,1.0,"""Bay of Success."""
125,88,133,96,1.0,Japanese male name.
238,89,246,97,1.0,Nikolaj Ivanovich; Soviet chemical engineer (1860-1930).
246,162,254,170,1.0,Robert Jemison; American physicist (1901-1967).
245,151,253,159,1.0,Marinus; Dutch chemist (1897-1973).
170,168,178,176,1.0,John Couch; British astronomer (1819-1892); Charles Hitchcock; American astronomer (1868-1951); Walter Sydney; American astronomer (1876-1956).
200,114,208,122,1.0,Abū Ja'far Muhammad Ibn Mūsā; Iraqi mathematician (unkn-after 847).
204,157,212,165,1.0,Harold Lee; American astronomer (1890-1964).
